Time,Total Power (dBm),Signal Power (dBm),Eb/No (Demod dB),Eb/No (Decode dB),Carrier Lock,Symbol Lock,Carrier Offset (KHz),Symbol Offset (Ksps),DC Bias,Amplitude Imbalance (I:Q),Phase Imbalance (deg),Viterbi-1 Lock,Lock Loss Accumulation,Total Bits,Error Bits,BER,Viterbi-2 Lock,Lock Loss Accumulation 1,Total Bits 1,Error Bits 1,BER 1,Frame Sync-1 Lock,Received Frames,Error Frames,Dropped Frames,Frame Header Error Bits,Frame Header BER,CRC-1 Lock,Total CRC,CRC Errors,RS-1 Lock,Received Packets,Error Packets,Correctable Packets,Correctable Packet Error Bits,Correctable Packet BER,LDPC-1 Lock,Received Frames 1,Error Frames 1,FER,Total Bits 2,Error Bits 2,BER 2,Frame Sync-2 Lock,Received Frames 2,Error Frames 2,Dropped Frames 1,Frame Header Error Bits 1,Frame Header BER 1,CRC-2 Lock,Total CRC 1,CRC Errors 1,RS-2 Lock,Received Packets 1,Error Packets 1,Correctable Packets 1,Correctable Packet Error Bits 1,Correctable Packet BER 1,LDPC-2 Lock,Received Frames 3,Error Frames 3,FER 1,Total Bits 3,Error Bits 3,BER 3,VCM Lock,1-Frame Type,1-Total Frames,1-Error Frames,2-Frame Type,2-Total Frames,2-Error Frames,3-Frame Type,3-Total Frames,3-Error Frames
2024-03-29 22:40:32.598,-41.0,-53.7,0.6,1.1,Unlocked,Unlocked,1480.274,-6.42,0.00+0.00j,1.0,0.0,Not Working,0,0,0,0.0,Not Working,0,0,0,0.0,Unlocked,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Unlocked,0,0,0.0,0,0,0.0,Not Working,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Not Working,0,0,0.0,0,0,0.0,Not Working,8PSK 2/3,0,0,16APSK 2/3,0,0,16APSK 4/5,0,0
2024-03-29 22:40:33.612,-41.1,-53.3,0.7,1.3,Unlocked,Unlocked,750.3789999999999,-0.948,0.00+0.00j,1.0,0.0,Not Working,0,0,0,0.0,Not Working,0,0,0,0.0,Unlocked,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Unlocked,0,0,0.0,0,0,0.0,Not Working,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Not Working,0,0,0.0,0,0,0.0,Not Working,8PSK 2/3,0,0,16APSK 2/3,0,0,16APSK 4/5,0,0
2024-03-29 22:40:34.626,-41.1,-53.7,0.9,1.5,Unlocked,Unlocked,105.811,0.10099999999999999,0.00+0.00j,1.0,0.0,Not Working,0,0,0,0.0,Not Working,0,0,0,0.0,Unlocked,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Unlocked,0,0,0.0,0,0,0.0,Not Working,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Not Working,0,0,0.0,0,0,0.0,Not Working,8PSK 2/3,0,0,16APSK 2/3,0,0,16APSK 4/5,0,0
2024-03-29 22:40:35.640,-41.0,-53.4,0.6,1.2,Unlocked,Unlocked,14.187000000000001,-0.9,0.00+0.00j,1.0,0.0,Not Working,0,0,0,0.0,Not Working,0,0,0,0.0,Unlocked,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Unlocked,0,0,0.0,0,0,0.0,Not Working,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Not Working,0,0,0.0,0,0,0.0,Not Working,8PSK 2/3,0,0,16APSK 2/3,0,0,16APSK 4/5,0,0
2024-03-29 22:40:36.654,-41.1,-53.6,0.6,1.2,Unlocked,Unlocked,568.295,-8.97,0.00+0.00j,1.0,0.0,Not Working,0,0,0,0.0,Not Working,0,0,0,0.0,Unlocked,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Unlocked,0,0,0.0,0,0,0.0,Not Working,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Not Working,0,0,0.0,0,0,0.0,Not Working,8PSK 2/3,0,0,16APSK 2/3,0,0,16APSK 4/5,0,0
2024-03-29 22:40:37.668,-41.1,-53.6,0.8,1.4,Unlocked,Unlocked,-1060.174,-2.7889999999999997,0.00+0.00j,1.0,0.0,Not Working,0,0,0,0.0,Not Working,0,0,0,0.0,Unlocked,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Unlocked,0,0,0.0,0,0,0.0,Not Working,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Not Working,0,0,0.0,0,0,0.0,Not Working,8PSK 2/3,0,0,16APSK 2/3,0,0,16APSK 4/5,0,0
2024-03-29 22:40:38.682,-41.1,-53.4,0.8,1.4,Unlocked,Unlocked,-2181.76,-2.8080000000000003,0.00+0.00j,1.0,0.0,Not Working,0,0,0,0.0,Not Working,0,0,0,0.0,Unlocked,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Unlocked,0,0,0.0,0,0,0.0,Not Working,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Not Working,0,0,0.0,0,0,0.0,Not Working,8PSK 2/3,0,0,16APSK 2/3,0,0,16APSK 4/5,0,0
2024-03-29 22:40:39.696,-41.1,-52.9,0.8,1.4,Unlocked,Unlocked,1203.982,-4.836,0.00+0.00j,1.0,0.0,Not Working,0,0,0,0.0,Not Working,0,0,0,0.0,Unlocked,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Unlocked,0,0,0.0,0,0,0.0,Not Working,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Not Working,0,0,0.0,0,0,0.0,Not Working,8PSK 2/3,0,0,16APSK 2/3,0,0,16APSK 4/5,0,0
2024-03-29 22:40:40.710,-41.1,-53.5,0.6,1.2,Unlocked,Unlocked,-2427.078,-5.659,0.00+0.00j,1.0,0.0,Not Working,0,0,0,0.0,Not Working,0,0,0,0.0,Unlocked,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Unlocked,0,0,0.0,0,0,0.0,Not Working,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Not Working,0,0,0.0,0,0,0.0,Not Working,8PSK 2/3,0,0,16APSK 2/3,0,0,16APSK 4/5,0,0
2024-03-29 22:40:41.724,-41.1,-53.2,0.6,1.2,Unlocked,Unlocked,1131.927,0.45399999999999996,0.00+0.00j,1.0,0.0,Not Working,0,0,0,0.0,Not Working,0,0,0,0.0,Unlocked,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Unlocked,0,0,0.0,0,0,0.0,Not Working,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Not Working,0,0,0.0,0,0,0.0,Not Working,8PSK 2/3,0,0,16APSK 2/3,0,0,16APSK 4/5,0,0
